initial_depth,harm_mag,recovery_time,residual_error,integrity_min
0.05,0.1,0,1.9072647905460371e-07,0.7
0.05,0.1,0,1.9072647905460371e-07,0.7
0.05,0.1,0,1.9072647905460371e-07,0.7
0.05,0.1,0,1.9072647905460371e-07,0.7
0.05,0.1,0,1.9072647905460371e-07,0.7
0.05,0.3,0,5.775616342962309e-07,0.7
0.05,0.3,0,5.775616342962309e-07,0.7
0.05,0.3,0,5.775616342962309e-07,0.7
0.05,0.3,0,5.775616342962309e-07,0.7
0.05,0.3,0,5.775616342962309e-07,0.7
0.05,0.5,221,7.189950453692779e-05,0.7000679310916061
0.05,0.5,221,7.189950453692779e-05,0.7000679310916061
0.05,0.5,221,7.189950453692779e-05,0.7000679310916061
0.05,0.5,221,7.189950453692779e-05,0.7000679310916061
0.05,0.5,221,7.189950453692779e-05,0.7000679310916061
0.05,0.7,240,0.00010492074735555813,0.7000957602379883
0.05,0.7,240,0.00010492074735555813,0.7000957602379883
0.05,0.7,240,0.00010492074735555813,0.7000957602379883
0.05,0.7,240,0.00010492074735555813,0.7000957602379883
0.05,0.7,240,0.00010492074735555813,0.7000957602379883
0.05,0.9,159,2.0719715855751056e-05,0.5766659741539328
0.05,0.9,159,2.0719715855751056e-05,0.5766659741539328
0.05,0.9,159,2.0719715855751056e-05,0.5766659741539328
0.05,0.9,159,2.0719715855751056e-05,0.5766659741539328
0.05,0.9,159,2.0719715855751056e-05,0.5766659741539328
0.1,0.1,0,1.0429545027612619e-07,0.7
0.1,0.1,0,1.0429545027612619e-07,0.7
0.1,0.1,0,1.0429545027612619e-07,0.7
0.1,0.1,0,1.0429545027612619e-07,0.7
0.1,0.1,0,1.0429545027612619e-07,0.7
0.1,0.3,0,3.1582081239101e-07,0.7
0.1,0.3,0,3.1582081239101e-07,0.7
0.1,0.3,0,3.1582081239101e-07,0.7
0.1,0.3,0,3.1582081239101e-07,0.7
0.1,0.3,0,3.1582081239101e-07,0.7
0.1,0.5,0,5.306415431505229e-07,0.7
