population_scale,diversity_entropy,trial,convergence_time,opinion_variance,mean_opinion,attenuation_factor,demographic_entropy_realized
0.0,0.1,0.0,0.0,0.0,0.14250537761133347,0.0,-0.0
0.0,0.1,1.0,0.0,0.0,0.7481121613185264,0.0,-0.0
0.0,0.1,2.0,0.0,0.0,0.4009860045522981,0.0,-0.0
0.0,0.1,3.0,0.0,0.0,0.514014103925454,0.0,-0.0
0.0,0.1,4.0,0.0,0.0,0.5299971979855065,0.0,-0.0
0.0,0.3,0.0,0.0,0.0,0.48509312299504903,0.0,-0.0
0.0,0.3,1.0,0.0,0.0,0.19594573168793783,0.0,-0.0
0.0,0.3,2.0,0.0,0.0,0.6066214082141297,0.0,-0.0
0.0,0.3,3.0,0.0,0.0,0.2630868615362703,0.0,-0.0
0.0,0.3,4.0,0.0,0.0,0.5211044947515779,0.0,-0.0
0.0,0.5,0.0,0.0,0.0,0.35726132750522865,0.0,-0.0
0.0,0.5,1.0,0.0,0.0,0.575069276601275,0.0,-0.0
0.0,0.5,2.0,0.0,0.0,0.39873900979361554,0.0,-0.0
0.0,0.5,3.0,0.0,0.0,0.875316782281722,0.0,-0.0
0.0,0.5,4.0,0.0,0.0,0.6098779569994522,0.0,-0.0
0.0,0.7,0.0,0.0,0.0,0.694843225200827,0.0,-0.0
0.0,0.7,1.0,0.0,0.0,0.23286199949054004,0.0,-0.0
0.0,0.7,2.0,0.0,0.0,0.7363201482986739,0.0,-0.0
0.0,0.7,3.0,0.0,0.0,0.5589789385875197,0.0,-0.0
0.0,0.7,4.0,0.0,0.0,0.4083458650736996,0.0,-0.0
0.0,0.9,0.0,0.0,0.0,0.41651344502402193,0.0,-0.0
0.0,0.9,1.0,0.0,0.0,0.2770442411694427,0.0,-0.0
0.0,0.9,2.0,0.0,0.0,0.4451095271594426,0.0,-0.0
0.0,0.9,3.0,0.0,0.0,0.4138500863099068,0.0,-0.0
0.0,0.9,4.0,0.0,0.0,0.6172938768706705,0.0,-0.0
1.0,0.1,0.0,0.0,0.029030707885718193,0.43380890152784024,0.0,1.0
1.0,0.1,1.0,0.0,0.025314887504729336,0.544595169633542,0.0,-0.0
1.0,0.1,2.0,25.0,9.604968544512868e-27,0.3854715132419979,0.6666666666666666,1.0
1.0,0.1,3.0,0.0,0.03956387938397424,0.6986236499193723,0.0,1.0
1.0,0.1,4.0,25.0,8.858416468310155e-27,0.4352196873995666,0.6666666666666666,1.0
1.0,0.3,0.0,15.0,1.7057144923141328e-27,0.6579463035551488,0.6666666666666666,1.0
1.0,0.3,1.0,25.0,1.3102005885541124e-26,0.5256563524104327,0.6666666666666666,1.0
1.0,0.3,2.0,20.0,6.685996765176508e-27,0.7517707707569006,0.6666666666666666,1.0
1.0,0.3,3.0,0.0,2.3900790609845597e-28,0.3726176957124149,0.6666666666666666,-0.0
1.0,0.3,4.0,0.0,2.663514890768882e-28,0.34114629135466684,0.6666666666666666,1.0
1.0,0.5,0.0,0.0,2.004507886118235e-30,0.38884219424075817,0.6666666666666666,1.0
1.0,0.5,1.0,0.0,0.09106125443547522,0.5604335834983813,0.0,1.0
1.0,0.5,2.0,25.0,1.1112467867694622e-26,0.5334097187306845,0.6666666666666666,1.0
1.0,0.5,3.0,25.0,8.552842260357854e-27,0.6267584791381337,0.6666666666666666,1.0
1.0,0.5,4.0,0.0,0.03942007622790231,0.3372207301550165,0.0,1.0
1.0,0.7,0.0,20.0,5.207714569623086e-27,0.7495935205718604,0.6666666666666666,1.0
1.0,0.7,1.0,20.0,5.454943885468142e-27,0.48611847397314556,0.6666666666666666,1.0
1.0,0.7,2.0,0.0,0.07509246752038079,0.6226950213881766,0.0,1.0
1.0,0.7,3.0,25.0,1.0984099244297368e-26,0.6449079047375544,0.6666666666666666,1.0
1.0,0.7,4.0,20.0,3.326533992679676e-27,0.5681605055940993,0.6666666666666666,-0.0
1.0,0.9,0.0,25.0,9.30807796949382e-27,0.47111328538127645,0.6666666666666666,1.0
1.0,0.9,1.0,20.0,2.1253961976114886e-27,0.4502670925822546,0.6666666666666666,1.0
1.0,0.9,2.0,25.0,1.5337680831768226e-26,0.5577489866358083,0.6666666666666666,1.0
1.0,0.9,3.0,15.0,1.962303827688911e-27,0.3262310666345406,0.6666666666666666,-0.0
1.0,0.9,4.0,0.0,0.019969750133520134,0.4724394477773841,0.0,-0.0
2.0,0.1,0.0,20.0,0.034917598650877554,0.634030316174412,0.5833333333333333,1.0
2.0,0.1,1.0,20.0,1.232595164407831e-32,0.5467436662453056,0.6666666666666666,1.5
2.0,0.1,2.0,20.0,1.232595164407831e-32,0.5234226636077948,0.6666666666666666,0.8112781244591328
2.0,0.1,3.0,20.0,4.622231866529366e-33,0.43307708943361084,0.6666666666666666,1.5
2.0,0.1,4.0,15.0,4.622231866529366e-33,0.31064606633164693,0.6666666666666666,1.5
2.0,0.3,0.0,15.0,0.03063721518039812,0.4351813743029802,0.5833333333333333,1.5
